code,Team,Payroll (millions),Wins,
WAS,Nationals,81.34,98,
CIN,Reds,82.2,97,
NYY,Yankees,197.96,95,
SF,Giants,117.62,94,
ATL,Braves,83.31,94,
OAK,Athletics,55.37,94,
TEX,Rangers,120.51,93,
BAL,Orioles,81.43,93,
TB,Rays,64.17,90,
ANA,Angels,154.49,89,
DET,Tigers,132.3,88,
STL,Cardinals,110.3,88,
LA,Dodgers,95.14,86,
CWS,White Sox,96.92,85,
MLW,Brewers,97.65,83,
PHI,Phillies,174.54,81,
ARZ,Diamondbacks,74.28,81,
PIT,Pirates,63.43,79,
SD,Padres,55.24,76,
SEA,Mariners,81.97,75,
NYM,Mets,93.35,74,
TOR,Blue Jays,75.48,73,
KC,Royals,60.91,72,
FLA,Marlins,118.07,69,
BOS,Red Sox,173.18,69,
CLE,Indians,78.43,68,
MIN,Twins,94.08,66,
COL,Rockies,78.06,64,
CHC,Cubs,88.19,61,
HOU,Astros,60.65,55,
